"如何透過交易系統全額線上預繳股票? 交割銀行若為中國信託，請您至臨櫃簽署「預收款轉撥同意書」，簽署完成後即可進行線上預繳。
請登入各交易平台的「E服務」>全額線上預繳，操作說明如下：
1.e 統金：首頁 >主選單【E服務】>全額線上預繳 >下一步 >選擇帳號 >輸入預繳金額 >確定預繳。
2.金贏島：點選左下方選單【交易/帳務】>統合e網 >點選下拉選單內的【E服務】>查詢 >全額線上預繳 >下一步 >選擇帳號 >輸入預繳金額 >確定預繳。
3.e指發APP(舊版)：首頁 >【統一專區】>E服務 >全額線上預繳 >下一步 >選擇帳號 >輸入預繳金額 >確定預繳。
4.e指發APP(新版)：首頁 >功能總覽> 交易類「 全額預繳」 >下一步 >選擇帳號 >輸入預繳金額 >確定預繳。
※可執行全額預繳時間：交易日8:00-14:30。",,,
"統e金帳戶買進股票後，交割款項什麼時間會扣款？  交割款需於T+2日10：00前匯入分戶帳，否則列為違約交割。
※T為交易日，T+2若遇列假日則順延",,,
統e金帳戶賣出股款入帳與出金 賣出股票後，第二營業日約凌晨00:00會入至您的統e金帳戶，可用做交易額度使用；但當日台股贖回款需於中午12:00方可出金。實際入帳時間，需視銀行作業時間而定,,,
"統e金帳戶交易複委託方式？ 一、電子下單可交易美股、港股、滬深股通
可選擇金贏島、e指發或XQ全球贏家交易系統下單

二、人工下單可交易美股、港股、滬深股通、日股
請致電所屬營業員或總公司複委託交易室下單。

日班專線8:00-18:00：027706-1896、027706-0168
夜班專線夏令19:00-隔日04:00、冬令19:00-隔日05:00：022747-8212

下單請參考【複委託交易流程】：https://tinyurl.com/52yevash",,,
"統e金帳戶複委託業務交割款項問題? 統e金帳戶分戶帳目前僅限以台幣收付，再與配合銀行換匯
1. 委託前，需足額將委託金價款存於分戶帳圈存。
足額外幣款項×圈存匯率×103%
2. 次日解圈扣款時，因匯率波動造成圈存金額不足時，需請客戶
將資金存入分戶帳，再次扣款。
3. 客戶如有贖回款，將直接匯回分戶帳內。

可參考【複委託交易流程】：https://tinyurl.com/52yevash",,,
"統e金帳戶財管信託授扣款項問題? 統e金帳戶目前僅限以台幣授扣。
委託前，須足額將申購金額及手續費存於分戶帳。
每日下午系統自動將信託可動用餘額出金至分戶帳。
未成交金額於每日下午14:00退回至分戶帳。
客戶如有贖回款，將匯回分戶帳內。",,,
什麼是洗錢? 洗錢，亦稱清洗黑錢，或正其名資金洗淨，指的是將通過犯罪或其他非法手段所獲得的金錢、偽鈔，經過合法金融作業流程之類的方法，以「洗淨」為看似合法的資金。洗錢常與經濟犯罪、毒品交易、恐怖活動及黑道等重大犯罪有所關連，也常以跨國方式進行。,,,
停牌 股票由於某種消息或進行某種活動引起股價的連續上漲或下跌，由證券交易所暫停其在股票市場上進行交易。待情況澄清或企業恢復正常後，再復牌在交易所掛牌交易。 ,,,
"如何變更當日買賣額度 請向您的營業員提出調整買賣額度的申請
1如您為線上開戶，需臨櫃補簽印鑑卡才可調高至300萬
1499萬以下，免提供財力證明
2500萬含以上，請提供個人財力證明給營業員，財力證明需達買賣額度的30%",,,
集保存摺本需要補登嗎? 集保存摺為顯示及表彰您所持有之有價證券異動情形及餘額狀況，建議您視您的異動頻率及所需做適時的補摺，以保障您的權益，現在也有提供手機存摺的服務，也可以線上申請，非常方便，歡迎多加利用。,,,
"如何變更證券交割銀行? 您可以攜帶您的國民身分證正本、開戶當時的原留印鑑到所屬開戶之本公司營業據點辦理。

請點選下方連結登入證券官網，點選右上方「服務據點」查詢據點資訊
https://www.pscnet.com.tw/pscnetStock/index.do",,,
"集保存摺遺失怎麼辦? 您可以攜帶您的國民身分證正本、開戶當時的原留印鑑到所屬開戶之本公司營業據點辦理。

請點選下方連結登入證券官網，點選右上方「服務據點」查詢據點資訊
https://www.pscnet.com.tw/pscnetStock/index.do",,,
"如何辦理股票匯撥? 您可以攜帶您的國民身分證正本、開戶當時的原留印鑑、集保存摺到所屬開戶之本公司營業據點辦理。

請點選下方連結登入證券官網，點選右上方「服務據點」查詢據點資訊
https://www.pscnet.com.tw/pscnetStock/index.do",,,
"股票匯撥需多久時間? 端視匯撥的筆數而定，匯撥完成後，即可查詢到庫存餘額。匯撥股票進度請洽開戶分公司櫃台詢問。

請點選下方連結登入證券官網，點選右上方「服務據點」查詢據點資訊
https://www.pscnet.com.tw/pscnetStock/index.do",,,
"請問證券手續費與交易稅計算方式? 一、手續費
買賣股票手續費：千分之1.425
二、交易稅
依據現行證券交易稅條例，出賣有價證券人按每次交易成交價格依下列稅率課徵之：
1.公司發行之股票及表明股票權利之證書或憑證徵千分之三。
2.公司債及其他經政府核准之有價證券徵千分之一。",,,
買進股票何時交割 以現行的交割制度，於成交日後二個營業日(T+2)上午10:00前需完成交割。,,,
如何具備買賣認股權證的資格? 現行開戶完成後即可交易，但如為舊戶，需加填認股權證交易風險預告書。,,,
未成年人開立證券戶扣款可扣父母親銀行帳戶嗎？ 未成年人開戶扣款，不可扣父母親銀行帳戶。,,,
證券投資人是否能註銷違約紀錄?  以現行的規定投資人並不能註銷違約紀錄，請審慎進行投資並按時進行交割，以避免影響日後個人徵信紀錄。,,,
證券交易，何時匯款才不會被申報為違約交割? 以現行的交割制度，需於成交日後二個營業日(T+2)上午10:00前將交割款存入約定交割帳戶以完成交割。,,,
證券投資人被報違約後，股票是否不能賣出?  是。依現行規定，在違約結案前，證券經紀商應拒絕接受開戶，已開戶者應拒絕接受委託買賣或申購有價證券。,,,
"信用交易費率 請點選下方連結登入證券官網 >主選單「證券」 >交易專區 >服務與收費 >信用交易費率
https://www.pscnet.com.tw/pscnetStock/index.do",,,
"借?利率 請點選下方連結登入證券官網 >主選單「證券」 >交易專區 >服務與收費 >有價證券借貸費率
https://www.pscnet.com.tw/pscnetStock/index.do",,,
融券償還方式? 您可以以融券買進的方式償還，或是使用您帳上之現股部位餘額，以現股償還的方式辦理。,,,
"目前的融資融券及信用狀況為何? 請您聯絡您的業務員查詢。
全省分公司「服務據點」查詢：
https://tinyurl.com/pj35wrc2",,,
融資償還方式? 您可以以融資賣出的方式償還，或是您帳上有足夠的現金餘額時，聯絡您的業務員以現金償還的方式辦理(需以您本人帳戶名稱，匯款至本公司指定帳戶辦理)。,,,
信用整戶及個股的擔保維持率的計算方式如何? 計算公式為：擔保維持率＝（融資擔保品證券市值＋融券擔保品及保證金＋抵繳有價證券或其他商品市值）÷（融資金額＋融券標的證券市值）×100%,,,
可以開立兩個數位帳戶嗎？ 不可以，一個身份證字號僅能開立一個數位帳戶。,,,
已經在統一證券開立帳戶了，還可以再開統一證券數位帳戶嗎？ 只要您還未在統一證券總公司開立帳戶者，即可線上開戶選擇『數位帳戶』開戶總公司)。,,,
"數位帳戶官網 數位帳戶官網
https://digital.pscnet.com.tw/index.html",,,
"數位帳戶複委託手續費 美國：網路單 0.15%，單筆最低 USD 12
香港：網路單 0.15%，單筆最低 HKD 50
中國：網路單 0.25%，單筆最低 CNY 100

想了解更多資訊，請參考數位帳戶官網
https://digital.pscnet.com.tw/index.html",,,
數位帳戶除權息入帳問題 數位帳戶參與股票除權息時，配股部分會直接匯入庫存，配息部分則是在該檔商品的現金股利交付日匯入指定的出金帳戶，屆時請至該出金帳戶查詢即可，查詢配股配息相關日期，請洽詢該股票的股務代理詢問。,,,
賣出股票後，交割款項什麼時間會入帳？ 賣出股票後，第二營業日約中午12點會入至您的分戶帳。實際入帳時間，需視銀行作業時間而定),,,
買進股票後，交割款項什麼時間會扣款？ 買進股票後，第二營業日凌晨0:00會至您的分戶帳扣款。,,,
電子下單多了購買力及圈存機制會影響下單速度嗎？ 不會。購買力及圈存機制都是由系統即時計算，不會影響下單速度。,,,
委託單改價後，購買力如何計算？ 購買力需大於改價後的買進委託金額才可改價，改價成功之後，原圈存金額會退回購買力。,,,
委託單刪單後，可以繼續下單嗎？? 可以的，該筆委託單的圈存金額會退回購買力。,,,
"數位帳戶買賣全額交割股和處置股 買進：可直接使用電子交易。
賣出：如欲賣出全額交割股/處置股，請透過e統金/e指發/金贏島線上圈存設定欲圈存的股票及股數)或透過人工交易專線：02)2748-8317，由專人為您服務。

線上圈存步驟：
1.e統金：點選主選單【E服務】 >線上股票圈存 >設定欲圈存的股票及股數 >確定圈存。
2.e指發：點選主選單【統一專區】 >E服務 >線上股票圈存 >設定欲圈存的股票及股數 >確定圈存。
3.金贏島：點選左下方【交易/帳務】 >統合e網 >點選下拉選單內的【E服務】 >查詢 >線上股票圈存 >設定欲圈存的股票及股數 >確定圈存。

※買進上述股票時，請確認您的購買力及可出金金額是否都需足夠，兩者都足夠才能下單，擇一不足時，則委託失敗。
※ 提醒您此為當日有效，請於欲圈存當日完成設定。",,,
數位帳戶交割款項會成交當下扣款嗎？ 不會。扣款日是依交易商品實際交割日。,,,
"數位帳戶如何交易?交易額度及轉帳額度有限制嗎? 數位帳戶採圈存式交易，交易前先將交割款項轉帳至分戶帳不限金額），分戶帳內有足夠的購買力即可進行交易。
轉帳額度限制依據您綁定出入金轉帳銀行帳戶限制，相關內容要麻煩您洽詢銀行客服人員",,,
數位帳戶的現金被圈存後有何限制? 圈存金額依然在分戶帳內，只是不可以出金或下單。若收盤後，圈存股票未成交，將於帳平後進行解圈，解圈後現金仍會計息，且可出金或為次交易日之下單額度。,,,
"數位帳戶下單時圈存機制會如何運作？ 1. 委託前，系統會將買進委託金額圈存。
2. 刪單後，買進委託金額會解圈。
3. 全部成交或部分成交其餘取消後，買進委託金額與成交金額間差額會解圈。
4. 至收盤後未成交，買進委託金額會解圈。
5. 改價前，系統會將改價前+改價後的買進委託金額圈存，再將改價前的圈存金額解圈。

※刪單、改價、成交的預收手續費及當沖部位預收稅額需待結帳後才歸還至購買力。",,,
"數位帳戶下單方式？ 一、電子交易
1. 網路下單：e指發、e統金、金贏島等交易系統
2. 語音下單專線：405-18188 手機撥打請加區碼)
二、電話人工下單專線
02)2748-8317，於賣出全額交割股、高風險股票時，可來電下單。",,,
數位帳戶開戶後可以立即買賣有價證券嗎？ 收到開戶成功暨密碼通知函後，入金至分戶帳中，隔日就可以開始交易了。,,,
"臨櫃匯款至數位帳戶需填寫的分行別和戶名為？ 銀行：中國信託商業銀行822)
分行：營業部0901)
戶名：統一綜合證券客戶分戶帳交割專戶
帳號：虛擬帳號43706xxxxx
備註：需提供?款收執聯、存摺封面及內頁明細",,,
"數位帳戶非約入金 您可以選擇：
一、新增約定為入金銀行：
非約定入金銀行為本人帳戶且為eACH上線銀行 https://www.twnch.org.tw/eACH.html 
 臺灣銀行、臺灣土地銀行、合作金庫銀行、第一銀行、華南銀行、彰化銀行、上海商業儲蓄銀行、台北富邦銀行、國泰世華銀行、兆豐國際商業銀行、王道銀行、臺灣企銀、京城銀行、新光銀行、聯邦銀行、遠東商銀、元大銀行、永豐銀行、凱基銀行、星展銀行、台新銀行、日盛銀行，中國信託銀行  eACH查詢網站 ，請將該銀行新增為約定入金帳號後洽客服中心02)8172-4668，待約定入金帳號新增成功後，該款項會直接匯入分戶帳。
二、申請退款：
1、非約定入金銀行非本人帳戶或非eACH上線銀行 ，
     請親簽【客戶交割專戶分戶帳退回聲明書】：https://tinyurl.com/ys8wx2p5
                【非約入金切結書】：https://tinyurl.com/5n7szxww
2、請附上述兩份文件、原匯款存摺及交易明細等資料，寄至客服信箱 info-center@uni-psg.com或傳真至 02)2748-8178，該款項將退回原匯款帳戶。

※注意事項：
LINE BANK未推出數位存摺封面供下載，但可改以APP截圖帳戶資訊取代存摺封面：
https://www.pscnet.com.tw/upload/pscnet/image/20220830140338448304.png",,,
"數位帳戶變更約定出金帳號 請攜帶國民身分證正本、健保卡或駕照、本人印鑑、欲變更的出金帳號銀行存摺到統一證券總公司辦理。

全省分公司「服務據點」查詢：
https://tinyurl.com/pj35wrc2",,,
"數位帳戶新增或刪除約定入金帳號 一、刪除約定入金帳號
刪除帳號即時生效，生效後將以email通知您「刪除申請已完成」
1.電腦
1)金贏島
交易/帳務>帳務>資金管理帳戶>新增/變更約定入金帳號>選擇欲刪除之帳號>刪除。
2)e統金
資金管理帳戶>新增／變更約定入金帳號>選擇欲刪除之帳號>刪除。
2.行動裝置
e指發APP：統一專區>資金帳戶>新增/變更約定入金帳號>選擇欲刪除之帳號>刪除。

二、新增約定入金帳號
新增後請來電通知本公司客服中心，專線02)8172-4668分機2，新增作業生效後將以email通知您「新增申請已完成」
1.電腦
1)金贏島>交易/帳務>帳務>資金管理帳戶>新增/變更約定入金帳號>選擇銀行>輸入銀行帳號>上傳存摺封面>點選「上傳約定銀行帳號」。
2)e 統金>資金管理帳戶>新增/變更約定入金帳號>選擇銀行>輸入銀行帳號>上傳存摺封面>點選「上傳約定銀行帳號」。
2.手機
e指發APP：統一專區>資金帳戶>新增/變更約定入金帳號>選擇銀行>輸入銀行帳號>上傳存摺封面>點選「上傳約定銀行帳號」。

※注意事項
1.新增/刪除約定入金銀行帳號生效後，系統將發送email通知您「新增或刪除)申請已完成」。
2.設定約定入金銀行帳號最多9戶，請務必於入金帳號申請生效後，再進行入金，以免造成非約定入金的狀況。
3.請提供銀行存摺封面或系統截圖 需為中文顯示包含完整銀行及分行別、戶名、帳號等資料，資料需無遮碼)。
4.不接受提款卡拍照或截圖申請。
5.如要查詢申請進度，請至【變更/申請查詢】功能頁面進行查詢。",,,
"請問數位帳戶要到哪邊查詢交易明細呢 請至各下單平台的【資金帳戶】選單中查詢【帳戶明細】
e指發APP(舊版)：首頁>統一專區>資金帳戶
e指發APP(新版)：首頁>我的>統e金帳戶/錢包",,,
"請問數位帳戶要到哪邊查詢金額呢 請至各下單平台的【資金帳戶】選單中查詢【即時購買力】
e指發APP(舊版)：首頁>統一專區>資金帳戶>即時購買力
e指發APP(新版)：首頁>我的>統e金帳戶/錢包>即時購買力",,,
"使用約定的入金銀行轉帳至數位帳戶，但卻查無入金款項？ 通常發生原因為銀行整併後，使用提款卡以讀卡機或ATM轉帳，會造成轉帳帳號虛增碼數，而無法入金成功。
請再提供存摺封面及轉帳證明需有轉出帳號及轉至分戶帳虛擬帳號的資料），以協助後續款項處理事宜，造成您的不便，請多見諒。
建議您可直接以網路銀行方式或銀行APP轉帳。",,,
數位帳戶約定之入出金銀行帳戶一定要是本人帳戶嗎？ 為保障您的權益及符合法規的規定，僅限本人開立之銀行帳戶，做為約定入出金銀行帳戶使用。,,,
"我想用ATM轉帳到數位帳戶 若欲使用ATM轉帳，需使用約定之入金銀行帳戶，以銀行『自動櫃員機ATM)轉帳』至分戶帳中，
不可至銀行『臨櫃存入』及『自動櫃員機ATM)存入』。",,,
"數位帳戶入出金手續費 一、線上入金
中國信託銀行不收取手續費，其他銀行依各家匯款或轉帳規定辦理。
二、線上出金
出金至約定帳戶轉帳手續費，將調整為以下內容：
1.中國信託銀行：免手續費。
2.其餘銀行：免手續費。
三、電話人工出金
數位帳戶人工出金專線02)81724668、02)2746-3732，目前暫不收取手續費。",,,
數位帳戶賣出股票後，交割款項什麼時間會入帳和進行出金？ 賣出股票後，於T+2日(台股交易日)中午10：00後匯入您的分戶帳，入帳後即可申請出金。實際入帳時間，需視銀行作業時間而定。,,,
數位帳戶申購及競拍如未中籤，何時會退款? 於未中籤退款日的中午10:00後匯入您的分戶帳，入帳後才可申請出金。實際入帳時間，需視銀行作業時間而定。,,,
"數位帳戶出金與入帳時間 數位帳戶出金作業時間如下：
一、線上出金申請時間
　　營業日即時出金 06:00 ~ 17:00、18:00 ~ 03:50、非台股交易日 06:00 ~ 翌日 03:50 
　　營業日延後出金 17:00 ~ 18:00、03:50 ~ 06:00、非台股交易日 03:50 ~ 當日 06:00

二、 人工出金申請時間
營業日早上08:00~晚上20:00
人工出金專線：02)2746-3732、02)8172-4668分機2

※注意事項：
1.申請時間10:00前，約12:00入帳；申請時間12:00前，約14:30入帳；申請時間14:00前，約15:30入帳。
 實際入帳時間，需視各銀行作業時間而定)
2.電話人工出金目前暫不收取手續費。",,,
"數位帳戶入金申請時間及入帳時間 線上入金申請時間
營業日即時入金 06:00 ~ 17:00、18:00 ~ 03:50、非台股交易日 06:00 ~ 翌日 03:50 
營業日延後入金 17:00 ~ 18:00、03:50 ~ 06:00、非台股交易日 03:50 ~ 當日 06:00",,,
數位帳戶入出金銀行約定上限 可以約定9個約定入金銀行、1個約定出金銀行帳戶，皆須為本人之銀行帳戶。,,,
數位帳戶可約定的入出金銀行 數位帳戶可約定入出金銀行共23家，可約定銀行依臺灣票券交換所公告之eACH上線銀行為主 https://www.twnch.org.tw/eACH.html#ACH-6,,,
"數位帳戶人工出金專線 數位帳戶人工出金申請專線：
02)8172-4668、02)2746-3732
人工出金申請時間：營業日早上08:00~晚上20:00

※注意事項
1.線上出金申請單筆超過100萬或單日超過200萬及人工出金申請，需人工批次作業。申請時間10:00前，約12:00入帳；申請時間12:00前，約14:30入帳；申請時間14:00前，約15:30入帳。 實際入帳時間，需視各銀行作業時間而定)
2.電話人工出金目前暫不收取手續費。",,,
"數位帳戶入出金方式 一、入金方式
1.將款項自開戶約定之入金銀行帳戶，請以銀行『網路轉帳』或使用銀行APP進行轉帳、
2.將款項自開戶約定之入金銀行帳戶以「自動櫃員機ATM)轉帳」
3.將款項自開戶約定之入金銀行帳戶以 「臨櫃匯款」至分戶帳中，不可至銀行「臨櫃存入」及「自動櫃員機ATM)存入」。
 
二、出金方式
1.e指發、e統金、金贏島等交易系統的「資金帳戶」中「即時購買力」查詢目前可出金金額，並輸入出金金額申請，完成後即進入申請流程。
2.電話人工出金專線：02)8172-4668或02)2746-3732，服務時間為營業日08:00~20:00。
 
※注意事項：
1.使用約定帳戶臨櫃匯款，無法立即入帳。
2.部份銀行帳戶使用ATM或網路ATM轉帳時，因轉帳帳號會帶入卡片序號，導致與約定帳戶不同，視為非約定入金。目前已知合庫銀及凱基銀會有此狀況發生)
3.以上須再提供「?款收執聯、存摺封面及內頁明細」郵寄至客服信箱，並註明帳號、姓名及連絡電話，以利協助後續款項處理事宜，臨櫃匯款及ATM轉帳可能造成入金時間延宕，請特別留意。
客服信箱：info-center@uni-psg.com
4.線上出金申請單筆超過100萬或單日超過200萬及人工出金申請，需人工批次作業。申請時間10:00前，約12:00入帳；申請時間12:00前，約14:30入帳；申請時間14:00前，約15:30入帳。 實際入帳時間，需視各銀行作業時間而定)
5.電話人工出金目前暫不收取手續費。",,,
數位帳戶存款利率 現行利率：年息0.01%。,,,
"數位帳戶當沖交易 請先簽署【現股當沖】有價證券當日沖銷交易風險預告書暨概括授權同意書」和【代為沖銷】辦理應付當日沖銷券差有價證券借貸契約書，簽署文件轉檔後，即可進行當沖交易。

一、簽署條件
1. 證券開戶滿三個月。
2. 一年內委託上市櫃股票買賣成交十筆含)以上。
二、簽署方式
1.電腦
金贏島> 交易/帳務 >?個人服務 >?線上簽署
e 統金 > 客戶服務 > 線上簽署專區
2.手機
e指發APP(舊版) >首頁 > 統一專區 > 線上簽署
e指發APP(新版) >首頁 >我的 >線上簽署
3.官網
線上簽署專區  https://eservices.pscnet.com.tw/eservice/OnlineSign/login.php

※注意事項
證交所當日沖銷交易標的
https://www.twse.com.tw/zh/page/products/trading/information5.html#03",,,
"數位帳戶可承作業務 數位帳戶可承作業務：
現行已開辦現股買賣、零股交易、盤後定價、股票申購抽籤)、現股當沖交易、定期定股、信託、複委託，未來將陸續新增更多項目。",,,
"數位帳戶圈存 1. 委託買進時，系統會確認統一證券『數位帳戶』有足夠的購買力後，才會送出委託單，若買進委託金額超過了購買力，則無法委託，即下單前須有足夠的購買力才能下單。
2. 委託賣出時，系統會確認有庫存後，才會送出委託單，若無庫存，則委託失敗。

圈存交易問題請參考數位帳戶官網
https://digital.pscnet.com.tw/earmark.html",,,
"數位帳戶購買力 數位帳戶購買力：
客戶當日可購買有價證券的資金能力，購買力=帳上現金餘額+[入金-出金+前日在途款淨額]-[現股買進委託金額含手續費)+現股賣出成交金額扣除手續費及交易稅)]。
1.委託預約單時，系統不確認購買力，請務必於開盤前再登入系統查詢委託狀態。
2.購買力計算現股買進手續費時，以手續費率0.1425%)計算，最低20元，當日結帳後，退還與實際手續費之差額。
3.現股買進及賣出成交時，實際手續費以手續費率0.1425%)計算，最低1元，當月結算後，次月退還折讓手續費。
4.刪單、改價、成交時，預收手續費需待結帳後才歸還至購買力。",,,
"線上開立數位帳戶 線上開立數位帳戶需為年滿18歲之本國自然人
【線上開戶】： https://tinyurl.com/2p9bbc57

【線上開戶操作手冊】：https://tinyurl.com/2p8br668",,,
"什麼是數位帳戶 數位帳戶以分戶帳交割)：
本公司經客戶同意留存交割款項於交割專戶者，本公司將按每一個客戶分別設置分戶帳客戶專屬之虛擬帳號。客戶經與本公司約定之客戶本人名下的銀行帳戶匯款至分戶帳辦理交割，無須另外開立證券款項劃撥帳戶。

線上開立數位帳戶
https://vchat.pscnet.com.tw/mopennew/eopen/index.html?branch=DIGI#/main/home

線上開戶操作手冊
https://www.pscnet.com.tw/upload/pscnet/file/20210820172812499400.pdf

想了解更多可參考數位帳戶官網
https://digital.pscnet.com.tw/index.html",,,
"數位帳戶優勢 開立數位帳戶好處多，快來開戶，享受更優惠的手續費~
1.適合擔心違約的你
有足夠金額才可下單交易，讓你降低違約交割風險，交易下單好安心。
2.適合省時快速的你
23家合作金融機構，輕鬆快速免臨櫃，開戶省時好便利。
https://www.twnch.org.tw/eACH.html#ACH-6
3.適合精打細算的你
數位帳戶手續費好優惠，欲了解詳情，請於周一~五8:00~20:00洽本公司客服中心詢問，客服專線02)8172-4668分機2。

想了解更多資訊，請參考數位帳戶官網
https://digital.pscnet.com.tw/index.html",,,
"統一證券YouTube 統一證券YouTube頻道
 https://www.youtube.com/channel/UCH-_jIlROuTFNtoQmUOhcoQ",,,
"統一證券有粉絲團嗎? 【統一證券相關頻道】
IG：http://IG： http://hyperurl.co/IG_unipsc

Youtube： http://hyperurl.co/YT_unipsc

Facebook： http://hyperurl.co/FB_unipsc

Podcast： http://hyperurl.co/unipsc_podcast",,,
"統一期貨YouTube 統一期貨YouTube頻道
https://www.youtube.com/channel/UCaJSetiZxHhUdYksIjr-yfw",,,
"期貨新大戶軟體無法安裝 1.用系統管理員安裝 2.把以下文字貼到記事本並存成副檔名為「.reg」的登錄項目檔案，並執行登錄

Windows Registry Editor Version 5.00
[HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\.NETFramework\Security\TrustManager\PromptingLevel]
""MyComputer""=""Enabled""
""LocalIntranet""=""Enabled""
""Internet""=""Enabled""
""TrustedSites""=""Enabled""
""UntrustedSites""=""Disabled""",,,
收到電腦軟體權限即將關閉的訊息 三個月沒交易的客戶，統一期貨將關閉電腦軟體的權限，會於關閉前一個禮拜以訊息通知，若是同一人有使用統一期貨其他帳號於三個月內有下單，或是帳戶權益數達10萬以上，則不會被關閉電腦軟體權限,,,
期貨統eVIP(HTS)軟體，三個月未下單權限被關閉，再次下單後自動開通的時間 早盤下單成交為n+1交易日自動開痛，夜盤成交是n+2交易日自動開通,,,
期貨新大戶軟體帳戶查詢web服務，出現錯誤碼 用系統管理員身分執行安裝,,,
"期貨網路出入金時間 本公司出金
截止時間 分別為【上午 9點 】、【上午 10點 】、【下午 14點 】
本公司每日約
PM14:00-14:10、 PM 16:30-17:30與 AM 05:00-07:10為系統過帳及
備份處理時間，該期間將 暫停國內外出入金與互轉作業。https://www.pfcf.com.tw/info/detail/111",,,
"期貨網路換匯時間 網路換匯
功能申請時間 AM7:00 - PM1:00。https://www.pfcf.com.tw/info/detail/112",,,
" 統一期貨MultiCharts申請流程 MultiCharts申請流程
 https://www.pfcf.com.tw/software/detail/2141",,,
"期貨統eVIP系統下載點 統eVIP系統載點
https://www.pfcf.com.tw/software/detail/301",,,
"統一期貨海期通下載點 海期通載點
https://www.pfcf.com.tw/software/detail/1425",,,
"e指發 ios下載點 e指發：IOS載點
https://www.pfcf.com.tw/software/detail/621",,,
"e指發 android下載點 e指發：Android載點
https://www.pfcf.com.tw/software/detail/620",,,
"期貨期航家下載點 期航家載點 
https://www.pfcf.com.tw/software/detail/2919",,,
"期貨線上簽屬專區 簽署專區網頁
https://messagebus.pfctrade.com/user/login",,,
期顧線上簽屬抓不到元件或是無法進行簽屬 請使用firefox瀏覽器，或是使用微軟edge瀏覽器開啟ie模式後進行簽屬,,,
"期顧線上簽屬 期顧線上簽屬專區
http://www.betamatrix.net/?up=PFCF01&menu=SIGNLOGIN",,,
"期貨密碼補發方式 線上密碼補發網頁
https://serviceap.pfcf.com.tw/Ftr_Password_Request/intro.jsp",,,
期貨進行線上密碼補發出現亂碼或是簽章元件異常 請使用firefox瀏覽器，或是使用微軟edge瀏覽器開啟ie模式後進行簽屬,,,
"期貨統eVIP(HTS)軟體，帳務部分無法顯示 1.請確認是否有ie11以上的瀏覽器 
2.到此統一期安裝檔的資料夾C:\Program Files x86\PS_PFCVIP，點選user對此資料夾按右鍵「內容」，點選第三個頁籤「安全性」，並找到第一個框框點選Users，下面那個框框確認「寫入」是否有勾選，如沒有勾選，點選編輯，一樣點選Users，再點入打勾套用，重新開啟統eVIP",,,
"如何加入統一投顧會員? 統一證券電子戶可線上簽署加入免費/付費會員,若須專人服務,請於週一至週五 8:30~16:30洽統一投顧(02)2748-8399#3308
一、投顧會員/好康介紹
點選下方連結進入「統一投顧官網」 >會員專區 >會員介紹
https://www.pscnet.com.tw/pscnetInvestmentAdvisor/index.do
二、線上加入會員
1.電腦
點選下方連結登入「統一投顧VIP網站」 >輸入交易帳號與密碼 >填寫相關資料
https://pcmc.pscnet.com.tw
2.e指發APP(舊版)
統一專區 >投顧 >線上簽署 >填寫相關資料
3.e指發APP(新版)
我的/線上簽署/投顧簽署",,,
"統一投顧VIP網站有提供大盤多空資訊嗎? 請至統一投顧VIP網站查詢
https://pcmc.pscnet.com.tw/new/login.html?_t=fth64gu74f365yg",,,
"統一投顧VIP網站有短沖的股票嗎? 請至統一投顧VIP網站查詢
https://pcmc.pscnet.com.tw/new/login.html?_t=fth64gu74f365yg",,,
"統一投顧VIP網站有殖利率高的股票嗎? 請至統一投顧VIP網站查詢
https://pcmc.pscnet.com.tw/new/login.html?_t=fth64gu74f365yg",,,
"統一投顧VIP網站有月刊或周刊嗎? 請至統一投顧VIP網站查詢
https://pcmc.pscnet.com.tw/new/login.html?_t=fth64gu74f365yg",,,
如何加入統一投顧LINE? 請在LINE官方帳號區搜尋「統一投顧」,或加入好友ID：@bqh6026a,,
統一精選股票怎麼選出來的? 統一精選是透過系統預測,篩選出當天震幅可能較大,較適合當沖操作之精選股,無任何投資建議或多空方向之臆測。
什麼是技術分析? 技術分析是指研究金融市場的歷史資訊,經由圖表與數據的搭配,來預測價格趨勢並決定投資策略的一種分析方法_,
什麼是概念股? 概念股是股市術語,可做為一種選股的方式,也是將同類型股票列入選股的一種組合哦_,
什麼是遊戲股? 你知道遊戲股又稱「寒暑假概念股」嗎！如需相關報告,請至統一投顧VIP服務網站查詢_,,
什麼是汽車股? 說到汽車股,電動車最近真的很夯！如需相關報告,請至統一投顧VIP服務網站查詢哦！,
什麼是生技股? 目前無相關產業類股定義與實例_如需相關報告,歡迎至統一投顧VIP服務網站查詢！,,
什麼是5G? 5G為「第五代行動通訊技術」,5G傳輸速度最大可達10Gbps,為現行4G的100Mbps數十倍以上,擁有高可靠、低延遲通訊的優點！
什麼是蘋概股? 蘋果概念股大多時候就是指蘋果iphone供應鏈的股票組合_包含鏡頭、機殼、觸控、軟板、散熱模組、處理器、組裝…等,,,
什麼是被動元件? 電阻器、電容器、電感器為電子產品中使用量最多且不可或缺的重要元件,合稱為「三大被動元件」。之所以那麼夯就是因為智慧型手機、電動車與車用電子都會用到它們喔__,,
什麼是內需股? 說到這個內需股_產品或服務自然是以提供「國內市場」為主的類股啦,如觀光、百貨、飯店、營建、水泥、汽車等類股都可以算是內需股哦。,,
